"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007416","GO:0007416","synapse assembly",170,0.538132518686696,2.64428016191374,1e-10,9.93333333333333e-08,7.85964912280702e-08,1879,"tags=48%, list=18%, signal=40%","Asic2/Lrrtm3/Pcdh17/Robo1/Ghrl/Fgf13/Sdk2/Adgrl3/Cadm1/Lzts3/Il1rapl1/Cntn5/Nrxn3/Gabra5/Nrg2/Ntrk3/Adgrb3/Gabrb3/Plxnb2/Lrfn5/Nlgn1/Wnt7a/Adgrl2/Cux2/St8sia2/Il1rapl2/Adgrb2/Adgrb1/Kirrel3/Cntnap2/Lrrtm4/Mdga2/Nrxn1/Ntn1/Flrt2/Arhgef9/Negr1/Ptprs/Grid2/Ephb1/Gabra1/Gabra3/Agrn/Cdh9/Syndig1/Gria1/Clstn3/Akap5/Adnp/Psd/Lhfpl4/Gabrg3/Gpc4/Nptn/Magi2/Setd5/Amigo2/Ptk2/Cbln2/Arf6/Pclo/Nlgn4l/Slitrk4/Erbb4/Ptpn13/Flrt3/Epha7/Dnm3/Fzd1/Slitrk1/Bsn/Large1/Bdnf/Gabre/Shank2/Cdh2/Lrp4/Sipa1l1/Colq/Ephb3/Efnb2/Thbs2"
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",124,0.53891296819267,2.54827363331839,1e-10,9.93333333333333e-08,7.85964912280702e-08,2107,"tags=52%, list=21%, signal=42%","Cdh4/Pcdh17/Cdh6/Robo1/Tenm4/Dscaml1/Sdk2/Adgrl3/Cadm1/Pecam1/Dscam/Il1rapl1/Tenm3/Cntn5/Lrrc4c/Fat3/Plxnb2/Lrfn5/Nlgn1/Cdh22/Ptprf/Kirrel3/Tenm1/Epha3/Cntn6/Mdga2/Nrxn1/Mmp24/Ptprs/Dab1/Cadm2/Grid2/Pcdh10/Ntng1/Cdh9/Ptprt/Cdh18/Cadm3/Robo2/Clstn3/Gpc4/Nptn/Magi2/Amigo2/Hmcn1/Cdh20/Flrt3/Slitrk1/Palld/Alcam/Tenm2/Ptprm/Acvr1/Tgfb2/Cdh2/Nrcam/Celsr1/Cdh10/Cdh15/Fgfrl1/Pcdh8/Cdh7/Cplane2/Arvcf/Mbp"
"GO:0051963","GO:0051963","regulation of synapse assembly",101,0.552651883572283,2.50600178330787,1e-10,9.93333333333333e-08,7.85964912280702e-08,1321,"tags=46%, list=13%, signal=40%","Asic2/Lrrtm3/Robo1/Ghrl/Adgrl3/Lzts3/Il1rapl1/Nrg2/Ntrk3/Adgrb3/Lrfn5/Nlgn1/Wnt7a/Adgrl2/Cux2/St8sia2/Il1rapl2/Adgrb2/Adgrb1/Lrrtm4/Mdga2/Nrxn1/Ntn1/Flrt2/Negr1/Ptprs/Grid2/Ephb1/Agrn/Syndig1/Clstn3/Adnp/Psd/Lhfpl4/Gpc4/Setd5/Amigo2/Ptk2/Cbln2/Arf6/Slitrk4/Ptpn13/Flrt3/Epha7/Fzd1/Slitrk1"
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",63,0.605357058084659,2.49386337166063,3.49849827562174e-09,2.6063812153382e-06,2.06227266773492e-06,1984,"tags=57%, list=19%, signal=46%","Cdh4/Cdh6/Robo1/Dscaml1/Sdk2/Cadm1/Pecam1/Dscam/Tenm3/Cntn5/Fat3/Plxnb2/Cdh22/Ptprf/Kirrel3/Cntn6/Cadm2/Pcdh10/Cdh9/Ptprt/Cadm3/Robo2/Clstn3/Nptn/Amigo2/Hmcn1/Cdh20/Palld/Ptprm/Cdh2/Nrcam/Celsr1/Cdh10/Cdh15/Pcdh8/Cdh7"
"GO:1901888","GO:1901888","regulation of cell junction assembly",165,0.439976873155888,2.14731230673459,9.40506920597725e-09,5.60542124676244e-06,4.4352326360819e-06,1494,"tags=35%, list=15%, signal=30%","Asic2/Lrrtm3/Robo1/Ghrl/Arhgap6/Adgrl3/Lzts3/Il1rapl1/Nrg2/Ntrk3/Adgrb3/Lrfn5/Nlgn1/Wnt7a/Adgrl2/Cux2/St8sia2/Il1rapl2/Adgrb2/Adgrb1/Cntnap2/Lrrtm4/Epha3/Mdga2/Nrxn1/Ntn1/Flrt2/Negr1/Ptpra/Ptprs/Grid2/Ephb1/Agrn/Myoc/Syndig1/Clstn3/Peak1/Smad3/Map4k4/Adnp/Psd/Lhfpl4/Gpc4/Setd5/Amigo2/Ptk2/Cbln2/Arf6/Slitrk4/Ptpn13/Flrt3/Epha7/Fzd1/Slitrk1/Dusp22/Ldb1/Bdnf"
"GO:0071805","GO:0071805","potassium ion transmembrane transport",124,0.473868588038064,2.2407084257128,1.8566920000524e-08,8.61286271474259e-06,6.81484015578361e-06,1884,"tags=40%, list=18%, signal=33%","Kcnd2/Dpp6/Kcnq1/Kcnc1/Kcne2/Kcnq5/Slc24a4/Kcnj12/Kcnk2/Kcnq2/Kcnf1/Ano6/Kcnd3/Kcnh1/Kcnip2/Kcng1/Oprk1/Akap9/Kcnk9/Kcng2/Agrn/Kcnip1/Cacna1d/Kcnip4/Ank3/Wnk2/Nr3c2/Kcnk13/Kcnj6/Atp1b1/Nalcn/Rnf207/Kcnk3/Ank2/Kcnt2/Kcnb1/Kcnq3/Kcnv1/Dpp10/Lrrc38/Large1/Kcnc2/Abcb8/Kcnk5/Kcnma1/Akap7/Atp1a1/Hcn4/Klhl24"
"GO:0002181","GO:0002181","cytoplasmic translation",104,-0.498501833585719,-2.19856105696497,2.02315567124826e-08,8.61286271474259e-06,6.81484015578361e-06,1983,"tags=46%, list=19%, signal=38%","Rpl10a/Eif4a2/Rps13/Rpl5/Rps14/Rpl18a/Cnbp/Rpl9-ps6/Rpl3/Rpl4/Rpl12/Denr/Rpl22l1/Rps8/Rpl14/Eif2b5/Rpl39/Rplp2/Rpl31/Rps12/Rpl34/Rpl38/Rps3a1/Csde1/Rpl30/Rpl35a/Mif4gd/Rpl21/Eif2s2/Eif2b2/Ncbp2/Rpl8/Rplp0/Rpl27/Rpl37a/Rpl26/Rps4x/Rps15a/Rps29/Mettl3/Rpl24/Mcts1/Eif2b1/Pkm/Rps16/Rps28/Rpl29/Rps21"
"GO:0097485","GO:0097485","neuron projection guidance",173,0.418731324219814,2.07304715581077,4.46364385585601e-08,1.66270733630636e-05,1.31560029435756e-05,2267,"tags=42%, list=22%, signal=33%","Cdh4/Sema3f/Epha4/Robo1/Bcl11b/Foxp1/Dscaml1/Dscam/Cntn5/Unc5c/Ext1/Cntn2/Klf7/Unc5a/Nfasc/Boc/Sema4g/Plxna4/Kalrn/Epha3/Cntn6/Ntn1/Flrt2/Sema3a/Slit3/Ptpro/Trio/Ephb1/Lmo4/Neo1/Agrn/Epha5/Ank3/Bmpr2/Lama1/Crppa/Robo2/Matn2/Nkx2-1/Ablim1/Nptn/Chl1/Bmp7/Flrt3/Epha7/Dlx5/Alcam/Epha6/Tenm2/Sema6b/Ptprm/Bdnf/Lgr4/Wnt7b/Tgfb2/Nrcam/Apbb1/Ephb3/Plxna1/Efnb2/Cyfip2/Lama3/Tubb3/Slit2/Kif5c/Ephb2/Efnb1/Myh10/Lrp2/Ephb6/Sema5a/Gli3"
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",123,0.457843131118069,2.16209079440704,6.02637634039414e-08,1.99540016604161e-05,1.57884011724946e-05,2410,"tags=49%, list=24%, signal=38%","Chrm2/Adcy5/Chrm3/Calcr/Drd2/Pde10a/Adgrl3/Adra2c/Calcb/Vipr1/Grm8/Adgrb3/Ramp3/Adgrl2/Adgrb2/Adgrb1/Grk5/Htr4/Ramp1/Mtnr1a/Gabbr2/Oprk1/Gnal/Pde4b/Cacna1d/Sstr4/Drd1/Gna13/Adora2a/Akap5/Akap13/Grm7/Drd5/Adra2b/Adgrl4/Chrm5/Adcy1/Adcy2/Atp2b4/Adrb2/Htr1d/Adgrg2/Calcrl/Gnai1/Gpr61/Adora1/Chga/Adcy9/Adrb1/Cnr1/Grm4/Crhr2/Gna12/Gpr12/Adcyap1r1/Gpr26/Fshr/Npb/Crhr1/Adcy8"
"GO:0007411","GO:0007411","axon guidance",172,0.41673899993103,2.06124039665193,7.27303769407128e-08,2.16736523283324e-05,1.71490572997049e-05,2267,"tags=41%, list=22%, signal=33%","Cdh4/Sema3f/Epha4/Robo1/Bcl11b/Foxp1/Dscaml1/Dscam/Cntn5/Unc5c/Ext1/Cntn2/Klf7/Unc5a/Nfasc/Boc/Sema4g/Plxna4/Kalrn/Epha3/Cntn6/Ntn1/Flrt2/Sema3a/Slit3/Ptpro/Trio/Ephb1/Lmo4/Neo1/Agrn/Epha5/Ank3/Bmpr2/Lama1/Crppa/Robo2/Matn2/Nkx2-1/Ablim1/Nptn/Chl1/Bmp7/Flrt3/Epha7/Dlx5/Alcam/Epha6/Tenm2/Sema6b/Ptprm/Bdnf/Lgr4/Wnt7b/Tgfb2/Nrcam/Apbb1/Ephb3/Efnb2/Cyfip2/Lama3/Tubb3/Slit2/Kif5c/Ephb2/Efnb1/Myh10/Lrp2/Ephb6/Sema5a/Gli3"
