Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSGALG00010000002,,
ENSGALG00010000003,,
ENSGALG00010000004,,
ENSGALG00010000005,,
ENSGALG00010000006,,
ENSGALG00010000007,ND1,63549479
ENSGALG00010000008,,
ENSGALG00010000009,,
ENSGALG00010000010,,
ENSGALG00010000011,ND2,63549482
ENSGALG00010000012,,
ENSGALG00010000013,,
ENSGALG00010000014,,
ENSGALG00010000015,,
ENSGALG00010000016,,
ENSGALG00010000017,COX1,63549487
ENSGALG00010000018,,
ENSGALG00010000019,,
ENSGALG00010000020,COX2,63549489
ENSGALG00010000021,,
ENSGALG00010000022,ATP8,63549490
ENSGALG00010000023,ATP6,63549466
ENSGALG00010000024,COX3,63549467
ENSGALG00010000025,,
ENSGALG00010000026,ND3,63549491
ENSGALG00010000027,,
ENSGALG00010000028,ND4L,63549492
ENSGALG00010000029,ND4,63549470
ENSGALG00010000030,,
ENSGALG00010000031,,
ENSGALG00010000032,,
ENSGALG00010000033,ND5,63549495
ENSGALG00010000034,CYTB,63549472
ENSGALG00010000035,,
ENSGALG00010000036,,
ENSGALG00010000037,ND6,63549497
ENSGALG00010000038,,
ENSGALG00010000039,PDIA3,373899
ENSGALG00010000040,,
ENSGALG00010000041,,
ENSGALG00010000042,CKMT1B,374002
ENSGALG00010000043,PPIP5K1,415587
ENSGALG00010000044,MAP1A,415588
ENSGALG00010000045,TP53BP1,415589
ENSGALG00010000046,TUBGCP4,415590
ENSGALG00010000047,IQGAP3,415591
ENSGALG00010000048,MAN2A2,415585
ENSGALG00010000049,FES,429374
ENSGALG00010000050,CIB1,770162
ENSGALG00010000051,GDPGP1,
ENSGALG00010000052,TTLL13,431480
ENSGALG00010000053,HDDC3,107056801
ENSGALG00010000054,VPS33B,425858
ENSGALG00010000055,PRC1,770336
ENSGALG00010000056,UNC45A,415584
ENSGALG00010000057,,101751992
ENSGALG00010000058,FURIN,395457
ENSGALG00010000059,MFAP1,415586
ENSGALG00010000060,HYPK,770307
ENSGALG00010000061,SERINC4,430755
ENSGALG00010000062,,
ENSGALG00010000063,SERF2,107054222
ENSGALG00010000064,,
ENSGALG00010000065,,
ENSGALG00010000066,gga-mir-12218,114483010
ENSGALG00010000067,,
ENSGALG00010000068,,
ENSGALG00010000069,,
ENSGALG00010000070,,
ENSGALG00010000071,,112532885
ENSGALG00010000072,,
ENSGALG00010000073,,
ENSGALG00010000074,,
ENSGALG00010000075,,
ENSGALG00010000076,,112530990
ENSGALG00010000077,,
ENSGALG00010000078,,112531412
ENSGALG00010000078,,112531388
ENSGALG00010000078,,112531364
ENSGALG00010000079,,
ENSGALG00010000080,,121107999
ENSGALG00010000080,,430596
ENSGALG00010000081,,396078
ENSGALG00010000082,,
ENSGALG00010000083,,121108709
ENSGALG00010000084,,121108732
ENSGALG00010000085,,121108716
ENSGALG00010000086,,
ENSGALG00010000087,,
ENSGALG00010000088,,
ENSGALG00010000089,,
ENSGALG00010000090,,
ENSGALG00010000091,,121108173
ENSGALG00010000092,INPPL1,121108647
ENSGALG00010000093,,
ENSGALG00010000094,,
ENSGALG00010000095,,
ENSGALG00010000096,,
ENSGALG00010000097,,
ENSGALG00010000098,,
ENSGALG00010000099,,
ENSGALG00010000100,,
ENSGALG00010000101,,121108794
ENSGALG00010000102,,
ENSGALG00010000103,,
ENSGALG00010000104,,
ENSGALG00010000105,CACNA1F,101752139
ENSGALG00010000106,,
ENSGALG00010000107,,
ENSGALG00010000108,,121112483
ENSGALG00010000109,,
ENSGALG00010000110,,
ENSGALG00010000111,,
ENSGALG00010000112,,
ENSGALG00010000113,,121108785
ENSGALG00010000114,,
ENSGALG00010000115,,
ENSGALG00010000116,,
ENSGALG00010000117,,
ENSGALG00010000118,,
ENSGALG00010000119,,
ENSGALG00010000120,,
ENSGALG00010000121,,121108659
ENSGALG00010000122,,121112494
ENSGALG00010000123,,
ENSGALG00010000124,,112530176
ENSGALG00010000125,,
ENSGALG00010000126,,121108714
ENSGALG00010000127,,121108660
ENSGALG00010000128,,
ENSGALG00010000129,,
ENSGALG00010000130,,
ENSGALG00010000131,,
ENSGALG00010000132,,
ENSGALG00010000133,USP39,100859000
ENSGALG00010000134,,121108920
ENSGALG00010000135,,
ENSGALG00010000136,,
ENSGALG00010000137,,425940
ENSGALG00010000138,,
ENSGALG00010000139,gga-mir-12293,
ENSGALG00010000140,SEPHS3,113219448
ENSGALG00010000141,,107050721
ENSGALG00010000142,,121108808
ENSGALG00010000143,SCARF2,772263
ENSGALG00010000144,,
ENSGALG00010000145,PRODH,770734
ENSGALG00010000146,ACADM,121108947
ENSGALG00010000147,,107050985
ENSGALG00010000148,,
ENSGALG00010000149,,
ENSGALG00010000150,B3GAT3,374151
ENSGALG00010000151,TBX5,373988
ENSGALG00010000152,,107050361
ENSGALG00010000153,NF2,395158
ENSGALG00010000154,,121108846
ENSGALG00010000154,,121108844
ENSGALG00010000155,MAZ,107051057
ENSGALG00010000156,,
ENSGALG00010000157,,
ENSGALG00010000158,,
ENSGALG00010000159,,
ENSGALG00010000160,,121108686
ENSGALG00010000160,,121106527
ENSGALG00010000161,CDC42EP2,426985
ENSGALG00010000162,,
ENSGALG00010000163,,
ENSGALG00010000164,,
ENSGALG00010000165,,
ENSGALG00010000166,PFDN6,107050614
ENSGALG00010000167,faf,
ENSGALG00010000168,,
ENSGALG00010000169,,
ENSGALG00010000170,,107051372
ENSGALG00010000171,DPF2,374236
ENSGALG00010000172,,
ENSGALG00010000173,NIPSNAP1,417018
ENSGALG00010000174,,107050692
ENSGALG00010000175,,107049971
ENSGALG00010000176,,
ENSGALG00010000177,,
ENSGALG00010000178,,
ENSGALG00010000179,,
ENSGALG00010000180,,
ENSGALG00010000181,,
ENSGALG00010000182,,
ENSGALG00010000183,,
ENSGALG00010000184,,
ENSGALG00010000185,,
ENSGALG00010000186,THOC5,417019
ENSGALG00010000187,,
ENSGALG00010000188,,
ENSGALG00010000189,,121108943
ENSGALG00010000190,,
ENSGALG00010000191,NEFH,417020
ENSGALG00010000192,,
ENSGALG00010000193,,
ENSGALG00010000194,,
ENSGALG00010000195,,
ENSGALG00010000196,KSR2,100858301
ENSGALG00010000197,,
ENSGALG00010000198,,
ENSGALG00010000199,,
ENSGALG00010000200,GAL3ST1,417006
ENSGALG00010000201,,
ENSGALG00010000202,,417008
ENSGALG00010000203,,
ENSGALG00010000204,,107049147
ENSGALG00010000205,RNF215,417009
ENSGALG00010000206,,
ENSGALG00010000207,,
ENSGALG00010000208,,
ENSGALG00010000209,,
ENSGALG00010000210,CCDC157,417010
ENSGALG00010000211,,
ENSGALG00010000212,,
ENSGALG00010000213,,
ENSGALG00010000214,,
ENSGALG00010000215,SF3A1,427717
ENSGALG00010000216,,
